的,76938354
一,35278860
了,34812434
是,31422712
不,29858097
我,29569261
在,19195987
人,18435295
有,17847013
这,17648808
他,17596473
来,14837007
个,14789406
你,14221925
说,12000460
上,11918291
到,11505436
就,11305679
着,11165468
大,10828984
们,10741873
道,10625536
那,9929703
么,9727134
也,9508702
地,8804040
子,8641973
下,8550882
出,8294943
时,8207119
看,8030267
要,7944606
她,7870163
中,7680869
没,7560391
然,7339938
里,7329328
为,7309300
过,7307184
自,7261699
好,7259684
得,7186260
去,7182400
可,7069176
会,6824927
天,6797499
还,6776145
心,6555833
后,6544446
以,6523162
小,6383822
都,6342930
和,6252031
对,6195038
想,6140550
能,5933639
起,5819918
之,5373763
手,5076179
而,5075337
只,5050153
生,4966773
什,4828364
身,4819905
头,4813712
样,4769842
事,4729336
多,4617194
己,4569251
家,4546765
面,4532962
知,4397165
开,4346834
如,4308194
无,4177289
现,4161139
很,3994436
点,3978856
前,3967855
发,3946829
经,3923454
情,3879008
把,3798288
老,3762961
些,3752167
话,3744917
已,3720796
又,3710252
声,3671271
意,3668831
于,3614992
回,3608341
笑,3577465
所,3534172
但,3505257
眼,3495315
成,3478315
方,3471764
年,3465446
见,3460998
当,3437226
女,3362646
真,3314815
两,3302466
力,3298612
气,3227369
从,3173776
用,3170468
长,3100060
动,3073269
间,3067939
国,3063867
走,3020224
让,2999423
被,2998064
给,2939384
正,2933903
问,2899681
打,2882337
明,2864492
儿,2850098
法,2798486
才,2774963
几,2760667
行,2756706
三,2747794
定,2738825
此,2725965
进,2706350
再,2681503
种,2653924
将,2629219
实,2616492
同,2614683
最,2582957
本,2579524
向,2570964
分,2568782
十,2567177
学,2566533
高,2565932
第,2558818
感,2529138
怎,2520317
神,2509843
听,2449553
边,2448615
作,2437693
其,2417047
吧,2403165
却,2377929
口,2375024
觉,2372600
啊,2366043
因,2334623
白,2322211
次,2307457
军,2275004
做,2254997
外,2234449
门,2233462
光,2185701
风,2175031
主,2156315
住,2114870
果,2105431
与,2104552
全,2085206
二,2073729
候,2064968
公,2055138
相,2037658
吗,2028487
等,2002114
别,2000757
色,1988512
死,1979349
张,1977218
部,1972176
太,1962845
日,1944999
少,1940099
战,1924225
理,1903915
直,1902380
重,1900814
王,1891711
像,1883479
脸,1845354
比,1844194
快,1840001
何,1822108
水,1817943
名,1804559
体,1799811
呢,1793494
东,1783570
叫,1780163
西,1778761
应,1777404
便,1735257
放,1730745
马,1729443
难,1727440
轻,1720467
更,1703552
美,1692264
位,1682896
关,1675433
机,1672100
接,1671342
先,1662684
文,1637873
处,1626691
并,1624589
望,1623939
常,1623697
完,1623350
四,1598102
飞,1593771
师,1581750
者,1581047
安,1580103
清,1568814
刚,1561764
跟,1547565
月,1546594
信,1529741
山,1526952
爱,1516399
内,1509530
龙,1509393
空,1496062
带,1491966
找,1476145
原,1473346
入,1472056
李,1462547
连,1453048
吃,1445563
场,1443226
平,1439957
思,1438567
林,1435296
变,1428820
使,1415240
由,1400586
受,1388441
亲,1388321
命,1368062
目,1365310
强,1361353
男,1354324
任,1353727
该,1351318
路,1338441
车,1338066
今,1337566
海,1335124
加,1329722
远,1319096
活,1317244
特,1314148
解,1312068
电,1308303
世,1305454
性,1304637
表,1303318
许,1299512
它,1298568
立,1293824
黑,1292192
金,1291889
红,1282649
花,1277183
转,1276312
总,1273655
算,1263186
城,1258895
队,1255383
孩,1251885
反,1250683
工,1242237
始,1239671
满,1238021
新,1232035
兵,1226804
